user_id,question_id,question,theme,create_date,zipcode
u-dcHxM5Vyn9-64tlGzAKql,q-JdSHCE6Ned-p4IgZg8yPq,When will I be able to step onto the Green Line at rush hour without being packed like a sardine?,Experiential Quality,1/29/15 7:52,02135
u-A9feet2jhg-N7Ts8dnqdU,q-CnztOy3LRT-2ZRMEfL8Up,"Can you have Hubway (rental/public bikes) with adult-sized tricycles with extra-padded seats, bikes in different sizes (or adjustable for different sizes, including kids'), bikes with training wheels, recumbent bikes, bikes with luggage/package carriers, bikes with child seats or attached sidecars or attached kids' bikes/trikes? Can we have bikes in more colors (bright)? ",Access,2/17/15 1:44,02135
u-fERHzcbs3y-ESlptQCZm3,q-gi2kSc79fI-2pn25mli50,"What would it take to replace the green line, especially the B line, with a faster mode of transit with fewer stops?",Reliability,1/30/15 16:31,02135
u-Qjt7ir1A9t-OsFPupifhj,q-J3qtUVouqt-VBqlX6r5ns,"When will Boston address it's parking problem by charging market rates for parking, instead of attempting to supply unlimited free parking?",Governance and Decision-Making,2/6/15 12:13,02135
u-9VwldNmS7j-WZf55vQKCz,q-ddhp1RmIzM-WSZTeNMiqk,Will there be more secure bicycle parking so that people who bike feel more comfortable parking expensive bicycles?,Safety,2/19/15 16:32,02135
u-pWUIFYsBac-LJU65y8CQn,q-a1jJ6kyxg4-bqTZk5UwBS,Will the MBTA ever be able to run weekend buses on time? ,Reliability,2/5/15 16:16,02135
u-181EuFORBP-RHiSJXV8t8,q-kF4bR55WwI-qEU4GX9DLO,How can we make the Green Line more efficient?,Reliability,3/9/15 12:04,02135
u-CCwJeqUGkS-YybIOk55JE,q-NVj25IPw4h-9fi97kgELA,What can be done to better facilitate people getting to offices  to places such as Cambridge from Brighton and not require a downtown transfer?,Access,1/19/15 22:51,02135
u-cE9GcAcEiv-oUG7rc5NQc,q-133XIOqeQd-z4ve2f2dhz,How are transportation and quality of life connected? How can this connection inform transportation decisions throughout the city?,Experiential Quality,2/18/15 12:21,02135
u-ENF88gwCuB-Kvx1WLDBUM,q-Rh7Q5Fv6GM-IcXsvuikNM,"Is there a possibility of free public transport on high volume holiday nights? E.g. 4th July, night of the Superbowl, World Series, New Years etc.",Affordability,1/22/15 8:11,02135
u-PwWzsPtUVi-ibTcEdq27V,q-FJmvkHB7Lx-TswStD5sa2,Will the MBTA still be in crushing debt and suck more than any other city transit on earth?,Reliability,3/9/15 12:04,02135
u-qchmgBNOJU-xDoAqRM6Mx,q-wLCPMJkz8r-R7BreNu50N,When will a jogger no longer be able to outrun the green line?,Reliability,1/7/15 10:50,02135
u-cE9GcAcEiv-oUG7rc5NQc,q-AGm4yuwVPT-6GOp19S3hX,How are we going to measure progress in our transportation system in the future? What will we do if we fall short of that measure?,Governance and Decision-Making,2/18/15 12:21,02135
u-N6T9IqIaRd-hUSQyTD1ts,q-FeQsiAxN6y-g041WeUOY8,Do these plans include plans for the Olympics?,Resiliency,3/9/15 12:04,02135
u-By4ZH0U1uj-2iMFrfXLZJ,q-Ccm6o1hFzk-SsPy1K5OwC,"Will we see commuter stops at Allston Landing and Brighton landing with parking to get more cars off the street and make it easier to commute into/out of Boston?  Also, how to fix grid lock in Central Square at rush hours, and other major intersections around town?",Access,2/6/15 12:05,02135
u-vXwYHZy6tP-fG6tg1ke2P,q-iEt21w4ezf-MFYKBlyGVt,Will I be forced to buy a car to get to good jobs?,Access,3/9/15 12:05,02135
u-AvcWNfuDrT-V72hvSssW9,q-LsJgtkCmbw-GfCOw9e7I9,"Why can't the youth, those from low-income backgrounds, and the elderly take public transportation for free?",Affordability,2/13/15 17:33,02135
u-by3FqDO4yW-9ZY79Rxjvd,q-om0FWiiPo5-KaExwHOJBI,Will there ever be improvements on the MBTA Green Line?,Experiential Quality,3/9/15 12:06,02135
u-lfrdflHZ0f-WgPin4oCXT,q-bbdYtWTzR9-Pow0L8Q2Ir,Will the MBTA ever build a circle line?,Access,3/9/15 12:05,02135
u-TWMFfTHGzU-ep5GTKHW8o,q-CtV7a9sn4x-siulicE8vA,Is there going to be flying cars?,Innovation-Technology,3/9/15 12:06,02135
u-QBWcnB7Bra-XjxaS9B8dL,q-CZi2bFJAr4-p42jsIhOSq,"Will there be new, larger trains that work well?",Reliability,3/9/15 12:04,02135
u-r67YS91zyt-LxlTGFPD64,q-cAGBNfnJG8-oFYfH6BYe5,"If the US wins the bid, how will the 2024 Olympics alter public transportation (namely the T)? Will there be improvements to subway cars and expansion of lines?",Reliability,1/19/15 14:02,02135
u-I77sQovc4A-LUD5r1cJUQ,q-CoOyenbze9-X58JFXpPDi,When will the city show more concern for pedestrian safety than it does for driver happiness? ,Equity,2/20/15 14:54,02135
u-FwaNcpFhOf-yFOKcdk26t,q-87KhGhTzBk-roW9xS0m0j,"Why don't we offer temporary city jobs to those willing and able to assist with snow removal? Imagine pop-up crews of neighborhood shovelers who help clear their neighborhood sidewalks and streets to appropriate standards, and get paid for their efforts?",Experiential Quality,2/7/15 17:31,02135
u-umchh1rz5L-hbjbof4hHu,q-qqkP1eUsd5-8MEhlpDIOe,"So we know that there's technology to build roads and bike paths out of solar panels.  How about sidewalks?  And to take it a step further, if sidewalks where made out of solar panels, could the panels also radiate heat in the winter, so when it snows, the city can just flip a switch and the snow will melt away?",Sustainability-Climate,2/8/15 10:17,02135
u-Qjt7ir1A9t-OsFPupifhj,q-lCC9bdIdGP-2brTg6qfSy,Can we eliminate some parking spaces in order to make room for dedicated bus or bike lanes?,Access,2/6/15 12:14,02135
u-r0EKEdltin-ZkR04MqDbk,q-ljbKDxxYkL-QLkstSFu2X,How can the bike lanes be safer?,Safety,3/9/15 12:05,02135
u-I77sQovc4A-LUD5r1cJUQ,q-ZI9jzGabsx-QCP5sKcPKP,What is going to be done to make Commonwealth Ave. safer for pedestrians and bicyclists? ,Safety,2/20/15 15:04,02135
u-Ni2TzXzAXC-rVCbIbcBA7,q-FXZNJ8U8ZN-pw75VbDe2B,How do we guarantee continued (and appropriate) investment in public transportation? Will all the transit oriented projects in the works how do we make sure transit will be funded in the future?,Governance and Decision-Making,1/7/15 10:50,02135
u-FHx7WTaTz3-eshJVdwXt3,q-DRN4E0ix1n-EOIrSPjYtz,Get rid of busing in Boston.,Access,3/9/15 12:05,02135
u-yIhWITEYhH-BLu2YXLGyv,q-rmm25TqFkf-m2CCelQyb5,"(1) What are our priorities? Is it getting volumes of people around the city quickly, safely, or both? (2) How sustainable (fiscally and environmentally) will our transportation future be?(3) Since the city has the goal to reduce carbon emissions SUBSTANTIALLY in the coming years",Sustainability-Climate,2/6/15 17:24,02135
u-Xz970DXx9B-0WvW1HARqh,q-4HWUZQ2PGr-EpqCx4UfLK,Will the buses going to greater Boston become more frequent in the future?,Reliability,3/9/15 12:04,02135
u-Qjt7ir1A9t-OsFPupifhj,q-idFCiLa3WR-Chumdw9zDZ,"When will we start designing and building streets that encourage drivers to slow down? Lowering the city-wide speed limits would be a great start, but people respond best to design cues in the world around them. The goal should not have to be ticketing drivers for speeding - the goal should be eliminating areas that encourage speeding.",Safety,2/12/15 12:30,02135
u-QqPtrEwXQb-ywKT7guOoj,q-lJH5uUVBOu-mUd7ndKl7Y,We should have more space for bikes so we can get more business.  ,Access,3/9/15 12:05,02135
u-cLOgUCK983-e4Rlg8KBpn,q-Tiwd08zbs6-ntG19Hk82v,Can we have a system of accountability for commuters who arrive at work late due to lack of punctuality of the MBTA?,Reliability,2/20/15 13:20,02135
u-xj6YIMmgSb-ZVeAhzfVRm,q-VsSWaUmcjn-Ps3W0lKg16,will our politicians be bold enough to fund our transportation system in a fair way?,Governance and Decision-Making,2/19/15 11:33,02135
u-NxbidR5sjB-o4O8yIyqi5,q-om0eQhdZCy-T7JiZDjrcE,WIll anything actually become of these questions?,Governance and Decision-Making,2/20/15 16:57,02135
u-V8OTaKUioQ-261IjGRztq,q-uOUsoXk3uR-nXwbzZ1I4X,Can Greenline trains above ground be synced with stop lights?,Reliability,1/16/15 12:11,02135
u-Qjt7ir1A9t-OsFPupifhj,q-QXd4rjmvcg-YUuE99u8mE,"When will we get rid of automobile ""Level of Service"" as a design metric? Why not judge the level of service for a given road on it's ability to transport PEOPLE safely and efficiently?",Access,2/6/15 12:21,02135
u-Qjt7ir1A9t-OsFPupifhj,q-cO1T85uXv5-VYPJZzsdkn,When will we invest enough in our transportation system to make it reliable enough for commuters to rely on in all weather?,Reliability,2/3/15 8:45,02135
u-Qjt7ir1A9t-OsFPupifhj,q-53C8qlSzmd-Sh65byoEam,Will the MBTA make smart investments to improve bus service? Why not go after small(er) improvements like dedicated bus lanes and signal priority instead of boondoggles like SouthCoast Rail? $2 billion goes a LONG way on a bus...,Governance and Decision-Making,1/13/15 12:28,02135
u-Qjt7ir1A9t-OsFPupifhj,q-u9Jp8kWWq8-1peKfX9woN,"When will the MBTA update the over-burdenned Green Line trolleys, signalling system, and power system? The existing lines could serve many more customers with these upgrades",Access,1/13/15 12:34,02135
u-vXXu0wlaVh-6W7Q6wLoPe,q-KeLpoZ2ZfQ-gx9NGr0PCO,Can we eliminate some green line stops? (Especially on the B + C line),Access,3/9/15 12:55,02135
u-Qjt7ir1A9t-OsFPupifhj,q-a5ySmNCLAK-33seBvRGHp,When will we design roads with narrower travel lanes that make travel safer for all users?,Safety,2/6/15 12:52,02135
u-I77sQovc4A-LUD5r1cJUQ,q-reYhSS6ot3-ScsP8PozYb,When will the green line be given signal priority?,,,
",Reliability,02/20/2015 15:07,02135",,,,,
u-G16yv9Ky01-7Nb4ZCP6Af,q-k0q4lUbbb0-DZudcSZOzR,How are you going to fix the Green Line?,Reliability,3/9/15 12:04,02135
u-q5F5DNWxvn-mF6o2VoIIV,q-tErkNF1kUi-Km0VSZSfVh,When will the T run 24 hours a day like in NYC?,Reliability,3/9/15 12:05,02135
u-rJtu2kejq3-NQ8G8jEsaK,q-30jSFcdAI7-aNGWmnLCsz,How can we help people wait less for any form of transportation (especially in winter)?,Reliability,3/9/15 12:04,02135
u-IeMz5DCWJD-sf1p9nYPHL,q-0kQxful8bP-obIx5Yl8U7,"When will Green Line trains stop being ""taken out of service"" mid-route constantly?",Reliability,2/6/15 20:00,02135
u-46p5hqQuSZ-EIzGkijKpa,q-soREUpvbwH-ASb8vcONhy,Can Boston improve the timing of the stop lights in Brighton Center?,Reliability,3/9/15 12:04,02135
u-Qjt7ir1A9t-OsFPupifhj,q-fOG9Wv9p8r-lGgRGZXRKo,"How do we build more housing around transit nodes? More housing and less parking are critical to keeping rents low for low- to middle-income families. Dense housing also yields higher transit usage and lowers auto-dependency. And, when done right, the neighborhoods are become affordable, safe places for people to live.",Equity,2/12/15 12:46,02135
u-FwaNcpFhOf-yFOKcdk26t,q-6vGC6nRz4V-88EiwVR0SA,"Why do the streetlights at my intersection blink yellow every night, late at night?",Experiential Quality,2/7/15 17:40,02135
u-I77sQovc4A-LUD5r1cJUQ,q-v5n6LdX9mT-Wy4h8OaV29,What if there were a reliable way to get from North Station to South Station?,Access,2/20/15 14:43,02135
u-9VwldNmS7j-WZf55vQKCz,q-SGzPwNyiv0-bfex1DbB9E,Will there be more room for people who bike in the Back Bay?,Access,2/19/15 16:29,02135
u-pbQAraKGDY-LsgI2ZJsla,q-xwLK4ASbTS-Xtjz5rpKZd,The T used to run to Oak Square.  Why not any more?,Access,3/9/15 12:04,02135
u-NxbidR5sjB-o4O8yIyqi5,q-rd6cpijstI-IMiWIxNG8b,"How can we learn from cities like London, (est. 1066 C.E.) and retrofit our old city with the best, most comprehensive metro train system possible? ",Experiential Quality,2/20/15 16:33,02135
u-2sDqPfriuU-UtfORwPECr,q-oC6tkqHBvt-D9D5twtEKU,"Why do some buses only work on weekdays, but they don't work on weekends?",Reliability,3/9/15 12:04,02135
u-w84KT4mtvl-4Jy36G13DN,q-luF5iHgug4-OSgjZlYvqN,How can we make trains and buses more bike friendly?,Experiential Quality,2/17/15 13:08,02135
u-cLOgUCK983-e4Rlg8KBpn,q-2OI8aOksUs-vsB6FWljFL,Can I have a consistent schedule I can count on?,Reliability,3/9/15 12:55,02135
u-dXq9GUmYaC-CguUf8Pr7K,q-ooEsWYupsO-BLFqXbmjGs,How can we get better transportation in Oak Square - even the T?,Access,3/9/15 12:05,02135
u-Qjt7ir1A9t-OsFPupifhj,q-2wKeWDqlUA-tuZl8UNJkf,When will Boston install red light and speed cameras to crack down on all the drivers who speed and run red lights?,Innovation-Technology,2/11/15 12:32,02135
u-By4ZH0U1uj-2iMFrfXLZJ,q-BzM6vCBZ6C-sHeaM13vnb,"will Boston have bus only designated streets in the future, buses, pedestrians and maybe cabs",Access,2/6/15 11:31,02135
u-lCUAfkKLq9-8TBAifG7iz,q-6EX53aCaPF-ZRbGoMfHiX,Will they finally remove the dang brick and COBBLESTONES from walkways?!,Access,4/15/15 11:31,02135
u-cE9GcAcEiv-oUG7rc5NQc,q-lbKuViNXj5-C4xCWOnldD,"What creative funding opportunities exist to make system-wide infrastructure, capacity, and service improvements to transit operations throughout Boston (and the region)?",Governance and Decision-Making,2/5/15 12:34,02135
u-g9nLcl3kvH-tZXqDNqxTP,q-2DRsglm6AB-y6HulOzyKN,Will there every be a dedicated bike lane on heavily biked routes like on Mass. Ave and Comm. Ave?,Access,1/7/15 10:50,02135
u-FwaNcpFhOf-yFOKcdk26t,q-Zj02N3VIhe-9dc9pAYOZJ,Can we prioritize racial equality in access to public transit?,Equity,2/7/15 17:42,02135
u-sQnntgbX1B-4kBqUos9KQ,q-qZqTccH81v-v6JGn6XfJg,How can we get more public transportation underground to avoid traffic problems? And extend our current infrastructure? ,Access,2/11/15 12:24,02135
u-ENF88gwCuB-Kvx1WLDBUM,q-g1QmmlTeU9-hqij0IxJU9,How will more t-stations be made accessible to all?,Access,1/22/15 8:08,02135
u-cE9GcAcEiv-oUG7rc5NQc,q-JllKOuP4mM-xbHrYXblbg,There are incredible things happening in East Boston. New development and investment along the waterfront is picking up tremendously. How can we make bicycling to East Boston feasible so that people who travel by bike are more inclined to move into this fantastic neighborhood of Boston?,Sustainability-Climate,2/5/15 12:30,02135
u-OptSKqEYrK-ZIhXr8Ywih,q-1wsJJSwifH-FTzywjdWov,"What are the chances for a Manchester and/or Portsmouth, NH - Boston, MA rail line?",Access,2/6/15 14:42,02135
u-mKeoiEcMw2-ZVwYzBXBBo,q-BUuk5msBZo-0s3VnygCLj,Will you keep raising the fares every year just because you can?  They are getting ridiculous.  ,Affordability,3/9/15 12:05,02135
u-R3dKBrW2Ew-pFQhMvx5ub,q-p6YaJWbm08-jrxbaBjWpv,Why don't we have later bus transportation?,Reliability,3/9/15 12:05,02135
u-Qjt7ir1A9t-OsFPupifhj,q-qzGPdWkQUs-9reT5wwuQb,When will 24/7/365 Hubway service be expanded to ALL of Boston's neighborhoods?,Access,2/4/15 12:37,02135
u-Gh3xHdDIwA-UGxxUyReif,q-DAbOoTYoIA-FOSkaz3dtF,"Why are cars parked in the cycle lane never fined, even though it is illegal and directly endangers cyclists?",Safety,2/1/15 10:51,02135
u-9VwldNmS7j-WZf55vQKCz,q-wtPY9gLizH-bWzK2MXZli,How many miles of protected bike lanes will Boston have?,Access,2/19/15 16:25,02135
u-OilzjJX7xJ-q4E6bfpLFn,q-qdPbACbtzw-Gu8gTppis4,When are we going to get upgraded to teleporters?,Innovation-Technology,1/30/15 12:06,02135
u-iSkkfBJ6xs-srOFkto3Hn,q-MsZhZELMJw-HqzLn156gz,Could the green line be a little more accepting of bikes?,Experiential Quality,3/9/15 12:18,02135
u-xxZiZBZUF3-Nf2IDOXEKT,q-rOWtDoeRpu-Pvyte6U3L2,"Will there be transportation (not on a bus) across spokes, for example from the Green E Line to the B Line?",Access,3/9/15 12:05,02135
u-sK5y7UBKfQ-YuBHCmkuyB,q-YdWOmsfNEO-O2molTLQ1K,When will the green line go underground and transform from a trolley service to a real subway and real people-mover?,Access,1/23/15 13:18,02135
u-ybHQLJZ6u4-bTpHlOgqxK,q-zbSwDXQJmv-AQa41duEXx,How are developing technologies going to influence our options for transportation in Boston? ,Innovation-Technology,1/23/15 12:46,02135
u-NxbidR5sjB-o4O8yIyqi5,q-Aw4S7zf6sD-tKQCcAe63Y,How will we continue to improve bike infrastructure so that there are protected bikeways that allow residents to commute all over the city safely and efficiently?,Access,2/20/15 16:58,02135
u-R04jV91YvH-CtD9zDM4Bn,q-I8AKZ9HiWf-O4BzkqsJx3,When will we have jetpacks?,Innovation-Technology,1/19/15 21:05,02135
u-Gh3xHdDIwA-UGxxUyReif,q-kZh4PtWqtk-7Qsj8yxPs1,"Why, as a cyclist, do I always have to share the road with either fast-moving cars or with slow-moving pedestrians?",Access,2/1/15 10:44,02135
u-Qjt7ir1A9t-OsFPupifhj,q-N8B7kd9Iey-M7UEV9FkOU,"Can we convert more streets with heavy pedestrian traffic into ""open streets"", similar to the downtown crossing area?",Health,2/6/15 12:31,02135
u-YoKCcV6z15-cSFtiDbQG1,q-uX8wPv0rz1-3gBOYeW7DR,What if seniors had drivers who cared deeply about their welfare and ensured that each trip they took in Boston demonstrated respect?,Safety,1/18/15 8:35,02135
u-hf5lpjLjkw-bFEaX7U34T,q-J2w3gW7x5o-yFuSEc7bhR,Will the trains/buses use sustainable fuel and be efficient?,Sustainability-Climate,3/9/15 12:04,02135
u-9VwldNmS7j-WZf55vQKCz,q-CFWJs8yScQ-daruoFQdiQ,Will we have Cycle Superhighways like London?,Access,2/19/15 16:48,02135
u-MY18QljyBw-NAzwM3VDw6,q-yy6KcY39Mt-X1akrglfxY,Can we measure and quantify economic benefits as a result of transit infrastructure? Are there ways to see how business increases as a result accessibility?,Access,2/16/15 10:33,02135
u-I77sQovc4A-LUD5r1cJUQ,q-KlLYlrUHXY-lpKADoB0Mx,What if the T sent the same number of B line trains as they do trains for other branches?,Equity,2/20/15 15:14,02135
u-V8OTaKUioQ-261IjGRztq,q-XoENZWHBMK-9N9KkN21pQ,Will we ever fix the Old Northern Ave bridge?,Access,1/16/15 8:53,02135
u-GyqTu2VUGL-fBsiW3TJV8,q-MQqBMvqPHT-1e20BciB2m,Are they gonna make parking better in downtown Boston?,Access,3/9/15 12:05,02135
u-nhT2AmnLnV-aHBtyApxKN,q-2fRGYMR5kr-X59HfgMt89,"How can we make biking and walking easier, safer, and more convenient?  What can we learn from Copenhagen?  What will we do with all of that clean air and clear road space?",Sustainability-Climate,4/17/15 17:02,02135
u-9VwldNmS7j-WZf55vQKCz,q-sXMUAevMTl-YE4FuwiYxz,What role will electric bicycles play?,Innovation-Technology,2/19/15 16:28,02135
u-ZgHjjdwOeo-crGB2sXdJ0,q-6yqZkfvNXP-rKa1IycWOW,Will the green line be faster?,Reliability,1/7/15 10:50,02135
u-XGQoP1IqVs-9Ndf5lfL6v,q-EsUGFmV4zZ-F196sTkXTW,Why isn't it less expensive?,Affordability,3/9/15 12:05,02135
u-MY18QljyBw-NAzwM3VDw6,q-Ju10qTaSVB-cGSx902Ihx,What if elected officials took the T?,Governance and Decision-Making,2/16/15 10:32,02135
u-qoJB5jNuPX-rsEZ0MxBio,q-39DavF8KXi-JkJ9qAC15S,How can we increase ridership on the T and decrease dependence on cars?,Sustainability-Climate,2/8/15 16:06,02135
