shapeid,OBJECTID,Name,Acres,Neighborho,SqMiles,Shape_STAr,Shape_STLe
0,1,Roslindale,1605.568238,15,2.51,69938272.93,53563.9126
0.1,1,Roslindale,1605.568238,15,2.51,69938272.93,53563.9126
0.2,1,Roslindale,1605.568238,15,2.51,69938272.93,53563.9126
1,2,Jamaica Plain,2519.245394,11,3.94,109737890.8,56349.93716
2,3,Mission Hill,350.8535636,13,0.55,15283120.02,17918.72411
4,5,Bay Village,26.53983916,33,0.04,1156070.766,4650.635493
6,7,Chinatown,76.32440999,26,0.12,3324678.018,9736.590413
7,8,North End,126.910439,14,0.2,5528196.638,17124.77412
7.1,8,North End,126.910439,14,0.2,5528196.638,17124.77412
8,9,Roxbury,2108.469072,16,3.29,91844545.97,49488.80048
9,10,South End,471.5353556,32,0.74,20539997.95,17912.33357
10,11,Back Bay,399.3144111,2,0.62,17394066.03,19455.67115
11,12,East Boston,3012.059593,8,4.71,131204789.9,119815.8191
12,13,Charlestown,871.5412229,4,1.36,37964183.77,57509.68865
12.1,13,Charlestown,871.5412229,4,1.36,37964183.77,57509.68865
14,15,Beacon Hill,200.156904,30,0.31,8718799.865,14303.82902
15,16,Downtown,397.4728464,7,0.62,17313847.8,34612.80444
16,17,Fenway,560.6184614,34,0.88,24420442.67,24620.87645
17,18,Brighton,1840.408596,25,2.88,80167877.56,48787.51965
18,19,West Roxbury,3516.421786,19,5.49,153174723.4,66067.41984
19,20,Hyde Park,2927.221168,10,4.57,127509243.3,66861.24496
20,21,Mattapan,1352.098354,12,2.11,58897168.7,42005.77371
21,22,Dorchester,4662.879457,6,7.29,203114217,104344.034
21.1,22,Dorchester,4662.879457,6,7.29,203114217,104344.034
22,23,South Boston Waterfront,621.8435237,29,0.97,27087395.39,38391.35291
23,24,South Boston,1439.888807,17,2.25,62721306.14,64998.42028
23.ring1,24,South Boston,1439.888807,17,2.25,62721306.14,64998.42028
24,25,Allston,998.5344787,24,1.56,43495988,37859.09124